id,model,category,temperature,setup,punchline,predicted_punchline,punchline_overlap_with_setup,prediction_accuracy,surprise_score,success
gpt4o_physical_t0.5_4,gpt4o,physical,0.5,Why did the scientist wear mittens to a sushi dinner?,To prove that even physics can't explain how to pick up sashimi with chopsticks that way!,Because he heard it was on the cutting edge!,0.07142857142857142,0.0,1.0,True
gpt4o_physical_t0.7_0,gpt4o,physical,0.7,"While organizing his filing cabinet, Tom decided to alphabetize everything—starting with the top shelf.","He learned the hard way that ""Avalanche"" comes before ""Balance.""","Now his dinner plates are filed under ""C"" for ""China.""",0.1,0.0,1.0,True
gpt4o_physical_t0.7_1,gpt4o,physical,0.7,"While attempting to fold a fitted sheet for the first time, I ended up tangled inside it.",Now I'm a human burrito with a side of frustration!,Now I know how my socks feel in the dryer.,0.1111111111111111,0.05555555555555555,0.9444444444444444,True
gpt4o_social_t0.5_0,gpt4o,social,0.5,I accidentally joined a work video call while still in my pajamas and holding a spatula.,"I tried to play it cool by saying, ""And that's how you flip a quarterly report!""",Guess I really flipped out!,0.125,0.05,0.95,True
gpt4o_social_t0.5_1,gpt4o,social,0.5,"During a team meeting, Jane sent a detailed project update, and her boss reacted with a ""party popper"" emoji.","Confused, Jane asked if it meant ""great job"" or ""let's celebrate,"" only to find out it was meant for the team's birthday channel.",Looks like Jane just earned herself a promotion in emoji form!,0.047619047619047616,0.03225806451612903,0.967741935483871,True
gpt4o_social_t0.5_2,gpt4o,social,0.5,"I accidentally sent a job application to a LinkedIn contact who just endorsed me for ""Attention to Detail.""","Now I'm wondering if they'll endorse me for ""Irony"" next.","Looks like I need an endorsement for ""Irony.""",0.2,0.058823529411764705,0.9411764705882353,True
gpt4o_social_t0.5_3,gpt4o,social,0.5,"During a serious virtual meeting, my boss's background glitched, replacing the boardroom with a beach scene.","As he discussed quarterly losses, seagulls swooped in, and we all wondered if the waves were a metaphor.","""Looks like even the Wi-Fi is dreaming of a vacation!""",0.1111111111111111,0.07692307692307693,0.9230769230769231,True
gpt4o_social_t0.5_4,gpt4o,social,0.5,"After accidentally hitting ""reply-all"" on a company-wide email, Tom quickly sent a follow-up: ""Please disregard my last message.""","His boss replied-all with, ""We'd love to, but it's hard to unsee your karaoke invitation.""",It was too late—everyone already RSVP'd to his cat's birthday party.,0.0,0.08333333333333333,0.9166666666666666,True
gpt4o_social_t0.7_0,gpt4o,social,0.7,I accidentally joined a work video call while wearing a superhero costume from last night's party.,"My boss said, ""Nice to see you saving the day, but next time, try saving it for after office hours!""","Turns out, they loved it and now I'm the official office hero.",0.0,0.10714285714285714,0.8928571428571429,True
gpt4o_social_t0.7_1,gpt4o,social,0.7,"During a team meeting, Sarah noticed her boss reacted with a ""thumbs up"" emoji to her message about needing a day off for a family emergency.","Confused, she asked, ""So, is that approval or just your way of saying 'good luck'?""","Because nothing says ""take all the time you need"" like a passive-aggressive approval.",0.0,0.0,1.0,True
gpt4o_dark_t0.5_0,gpt4o,dark,0.5,Why did the procrastinator bring a calendar to a funeral?,To remind themselves that deadlines can be deadly serious.,To pay their last respects... eventually.,0.1111111111111111,0.07142857142857142,0.9285714285714286,True
gpt4o_dark_t0.5_1,gpt4o,dark,0.5,Why did the existentialist bring a pillow to the DMV?,To get comfortable while contemplating the meaning of life in line—because it's the only place you can lose your will to live and your number at the same time.,To make waiting for meaning more comfortable.,0.08,0.06666666666666667,0.9333333333333333,True
gpt4o_dark_t0.5_2,gpt4o,dark,0.5,Why did the overworked employee strive for inbox zero as their ultimate life goal?,Because they heard it was the closest thing to resting in peace while still on the clock.,Because they heard that's where true inner peace lies—right next to the unicorns and rainbows.,0.0625,0.24,0.76,True
gpt4o_dark_t0.5_3,gpt4o,dark,0.5,Why don't more twenty-somethings start planning for retirement?,Because they're still trying to figure out how to survive until next payday!,Because their favorite plan is still Netflix.,0.0,0.11764705882352941,0.8823529411764706,True
gpt4o_dark_t0.5_4,gpt4o,dark,0.5,Why did the man read the terms and conditions before going bungee jumping?,He wanted to know if he was signing up for a thrill or just a really short autobiography.,To make sure the cord had no strings attached!,0.0,0.041666666666666664,0.9583333333333334,True
gpt4o_dark_t0.7_0,gpt4o,dark,0.7,Why did the procrastinator bring a calendar to the afterlife?,To finally meet the deadlines they missed in life!,He wanted to schedule his haunting for next week.,0.2222222222222222,0.058823529411764705,0.9411764705882353,True
gpt4o_dark_t0.7_1,gpt4o,dark,0.7,Why did the skeleton go to the DMV?,"He heard it was the quickest way to feel alive again, even if it meant waiting for eternity.",To get his car-ton license!,0.11764705882352941,0.047619047619047616,0.9523809523809523,True
